,Congress,ICPSR#,State#,HouseDist,State Name,Party,Name,Comm Number,1st Dim,2nd Dim,Log-Lik,TotalChoice,GeomMean,Pct Correct
324,112,21159,47,2,NORTH C,200,ELLMERS,C00471896,0.494,0.293,-100.17023,863,0.89,0.944\
73,112,20754,3,5,MASSACH,100,TSONGAS,C00433136,-0.472,-0.137,-122.05852,833,0.864,0.938\
300,112,29580,73,4,WASHING,200,HASTINGS,C00286856,0.45,0.166,-84.65807,783,0.898,0.953\
67,112,29710,62,1,COLORAD,100,DEGETTE,C00311639,-0.48,-0.351,-103.15141,856,0.886,0.957\
336,112,20107,71,49,CALIFOR,200,ISSA,C00350520,0.515,-0.303,-110.32323,846,0.878,0.947\
175,112,29721,31,3,IOWA,100,BOSWELL,C00316661,-0.251,0.222,-276.79404,857,0.724,0.866\
214,112,20929,12,7,NEW JER,200,LANCE,C00444224,0.258,-0.342,-196.04294,864,0.797,0.905\
196,112,29539,12,2,NEW JER,200,LOBIONDO,C00269340,0.182,-0.257,-265.95544,865,0.735,0.859\
266,112,29701,41,4,ALABAMA,200,ADERHOLT,C00313247,0.389,0.461,-102.20839,861,0.888,0.951\
244,112,14644,71,41,CALIFOR,200,LEWIS,C00090357,0.342,-0.146,-133.55753,853,0.855,0.940\
40,112,20147,34,1,MISSOUR,100,CLAY,C00346080,-0.536,-0.161,-121.31956,839,0.865,0.938\
132,112,20706,1,2,CONNECT,100,COURTNEY,C00410233,-0.373,0.07,-133.9837,855,0.855,0.933\
85,112,29504,71,16,CALIFOR,100,LOFGREN,C00289603,-0.455,-0.539,-134.60582,826,0.85,0.937\
107,112,29379,13,14,NEW YOR,100,MALONEY,C00273169,-0.424,-0.346,-113.44649,835,0.873,0.941\
157,112,29744,13,4,NEW YOR,100,MCCARTHY,C00318931,-0.322,-0.146,-149.68797,786,0.827,0.927\
330,112,14647,71,3,CALIFOR,200,LUNGREN,C00390955,0.504,-0.158,-146.41083,857,0.843,0.918\
335,112,21162,24,6,OHIO,200,JOHNSON,C00476820,0.514,-0.078,-144.32233,863,0.846,0.926\
271,112,21187,73,3,WASHING,200,HERRERA BEU,C00472704,0.397,-0.447,-185.94505,858,0.805,0.908\
58,112,29777,14,1,PENNSYL,100,BRADY,C00333740,-0.497,0.237,-126.73867,857,0.863,0.924\
63,112,20538,71,5,CALIFOR,100,MATSUI,C00409219,-0.486,-0.225,-116.46163,862,0.874,0.936\
334,112,20356,49,31,TEXAS,200,CARTER,C00371203,0.513,0.345,-77.45512,851,0.913,0.968\
310,112,21129,21,14,ILLINOI,200,HULTGREN,C00467522,0.47,-0.192,-152.73753,862,0.838,0.919\
143,112,20707,1,5,CONNECT,100,MURPHY,C00411660,-0.35,-0.146,-163.86247,843,0.823,0.919\
408,112,20521,47,5,NORTH C,200,FOXX,C00386748,0.665,0.081,-152.72432,862,0.838,0.928\
83,112,29776,13,6,NEW YOR,100,MEEKS,C00430991,-0.457,-0.216,-128.02356,785,0.85,0.927\
388,112,20531,49,11,TEXAS,200,CONAWAY,C00383828,0.6,0.073,-91.81086,865,0.899,0.957\
126,112,20719,31,1,IOWA,100,BRALEY,C00409441,-0.386,-0.217,-141.91406,809,0.839,0.926\
138,112,29937,73,1,WASHING,100,INSLEE,C00337436,-0.361,-0.235,-178.13072,857,0.812,0.915\
180,112,20533,49,28,TEXAS,100,CUELLAR,C00371302,-0.231,0.637,-319.85178,862,0.69,0.816\
321,112,21196,65,2,NEVADA,200,AMODEI,C00496760,0.479,-0.297,-14.19498,201,0.932,0.975\
209,112,20146,56,2,WEST VI,200,CAPITO,C00347849,0.246,-0.069,-119.3424,863,0.871,0.956\
351,112,20139,49,7,TEXAS,200,CULBERSO,C00343236,0.533,0.338,-86.19713,804,0.898,0.958\
311,112,21112,62,4,COLORAD,200,GARDNER,C00492454,0.47,0.063,-131.89287,846,0.856,0.927\
164,112,20952,40,11,VIRGINI,100,CONNOLLY,C00445452,-0.306,-0.097,-187.96783,862,0.804,0.928\
162,112,20960,14,12,PENNSYL,100,CRITZ,C00476861,-0.309,0.949,-242.1163,861,0.755,0.883\
156,112,20329,52,2,MARYLAN,100,RUPPERSBE,C00376673,-0.323,0.059,-182.92557,836,0.803,0.917\
34,112,29377,13,8,NEW YOR,100,NADLER,C00290825,-0.554,-0.539,-96.4083,808,0.888,0.943\
434,112,20753,44,10,GEORGIA,200,BROUN,C00432955,0.954,-0.301,-114.77788,844,0.873,0.937\
23,112,29585,21,2,ILLINOI,100,JACKSON,C00305920,-0.589,-0.548,-76.72195,805,0.909,0.963\
11,112,20727,33,5,MINNESO,100,ELLISON,C00422410,-0.634,-0.468,-83.00336,773,0.898,0.960\
109,112,15454,12,6,NEW JER,100,PALLONE,C00226928,-0.423,-0.076,-121.75293,863,0.868,0.928\
203,112,20526,14,15,PENNSYL,200,DENT,C00386847,0.221,-0.287,-216.75208,863,0.778,0.896\
106,112,20932,66,3,NEW MEX,100,LUJAN,C00443689,-0.424,0.082,-142.3373,844,0.845,0.930\
280,112,20143,40,4,VIRGINI,200,FORBES,C00365692,0.407,0.05,-137.38202,862,0.853,0.945\
165,112,20328,2,2,MAINE,100,MICHAUD,C00367821,-0.306,-0.053,-258.7561,861,0.74,0.865\
166,112,29769,25,3,WISCONS,100,KIND,C00312017,-0.3,-0.237,-262.23093,848,0.734,0.867\
185,112,20957,13,23,NEW YOR,100,OWENS,C00464495,-0.187,0.325,-355.2113,844,0.656,0.784\
320,112,20703,71,22,CALIFOR,200,MCCARTHY,C00420935,0.477,-0.099,-89.80173,860,0.901,0.963\
205,112,20116,21,15,ILLINOI,200,JOHNSON,C00350421,0.223,-0.531,-344.61176,841,0.664,0.811\
123,112,20145,73,2,WASHING,100,LARSEN,C00345546,-0.39,0.283,-185.39626,857,0.805,0.901\
372,112,20319,44,11,GEORGIA,200,GINGREY,C00370783,0.564,0.099,-134.79115,815,0.848,0.933\
172,112,21113,11,1,DELAWAR,100,CARNEY,C00460899,-0.264,-0.207,-219.58357,858,0.774,0.904\
173,112,20907,1,4,CONNECT,100,HIMES,C00434191,-0.258,-0.409,-213.19534,859,0.78,0.898\
426,112,20903,71,4,CALIFOR,200,MCCLINTOCK,C00446815,0.733,-0.681,-178.59204,864,0.813,0.914\
406,112,20325,31,5,IOWA,200,KING,C00373563,0.654,0.11,-179.92653,834,0.806,0.903\
285,112,29315,71,25,CALIFOR,200,MCKEON,C00258244,0.418,-0.012,-105.14989,858,0.885,0.957\
79,112,2605,23,15,MICHIGA,100,DINGELL,C00002600,-0.459,0.271,-155.88692,831,0.829,0.923\
238,112,29932,72,2,OREGON,200,WALDEN,C00333427,0.327,-0.188,-148.67354,857,0.841,0.936\
290,112,20511,51,4,KENTUCK,200,DAVIS,C00369470,0.433,0.242,-129.16518,855,0.86,0.932\
88,112,29571,49,25,TEXAS,100,DOGGETT,C00286500,-0.452,-0.348,-145.71671,852,0.843,0.932\
212,112,29546,47,3,NORTH C,200,JONES,C00305052,0.255,0.531,-992.63635,854,0.313,0.664\
155,112,29561,14,14,PENNSYL,100,DOYLE,C00290064,-0.327,0.232,-195.7695,848,0.794,0.893\
176,112,20702,71,11,CALIFOR,100,MCNERNEY,C00398644,-0.25,-0.17,-176.27748,860,0.815,0.928\
267,112,21106,42,1,ARKANSA,200,CRAWFORD,C00462374,0.39,0.44,-70.76305,858,0.921,0.969\
31,112,13035,13,15,NEW YOR,100,RANGEL,C00302422,-0.556,-0.371,-102.78522,766,0.874,0.940\
398,112,20351,54,7,TENNESS,200,BLACKBURN,C00376939,0.623,-0.11,-115.04366,858,0.875,0.939\
181,112,20938,47,8,NORTH C,100,KISSELL,C00433763,-0.23,0.377,-330.65344,861,0.681,0.826\
339,112,20333,33,2,MINNESO,200,KLINE,C00326629,0.518,-0.233,-102.52851,865,0.888,0.963\
348,112,20357,67,1,UTAH,200,BISHOP,C00374231,0.529,0.014,-169.33467,835,0.816,0.917\
54,112,29559,14,2,PENNSYL,100,FATTAH,C00254441,-0.504,-0.172,-145.03424,836,0.841,0.935\
74,112,20757,22,7,INDIANA,100,CARSON,C00442921,-0.469,0.145,-158.38287,851,0.83,0.919\
433,112,20962,44,9,GEORGIA,200,GRAVES,C00462556,0.914,-0.394,-96.91721,861,0.894,0.947\
193,112,20523,53,2,OKLAHOM,100,BOREN,C00410829,-0.111,0.939,-243.58,831,0.746,0.868\
390,112,20522,47,10,NORTH C,200,MCHENRY,C00393629,0.606,-0.104,-99.89847,853,0.889,0.953\
127,112,29741,12,8,NEW JER,100,PASCRELL,C00313510,-0.385,0.023,-134.42776,846,0.853,0.929\
10,112,15619,12,10,NEW JER,100,PAYNE,C00519355,-0.635,-0.488,-85.6302,789,0.897,0.944\
204,112,20524,14,8,PENNSYL,200,FITZPATRI,C00475103,0.223,-0.477,-267.74231,857,0.732,0.852\
4,112,15613,73,7,WASHING,100,MCDERMOT,C00223073,-0.707,-0.173,-121.00502,842,0.866,0.942\
260,112,21101,13,29,NEW YOR,200,REED,C00464032,0.378,-0.191,-183.5898,856,0.807,0.897\
410,112,20738,24,4,OHIO,200,JORDAN,C00416594,0.67,-0.189,-89.51617,843,0.899,0.951\
201,112,20345,14,6,PENNSYL,200,GERLACH,C00372102,0.209,-0.332,-220.33858,856,0.773,0.884\
227,112,21128,21,11,ILLINOI,200,KINZINGER,C00458877,0.303,0.229,-161.83005,858,0.828,0.917\
182,112,29396,14,17,PENNSYL,100,HOLDEN,C00265322,-0.227,0.508,-277.22903,810,0.71,0.841\
237,112,21167,14,3,PENNSYL,200,KELLY,C00474189,0.326,0.398,-97.12603,863,0.894,0.965\
169,112,20508,21,3,ILLINOI,100,LIPINSKI,C00405431,-0.287,0.294,-279.16058,855,0.721,0.858\
42,112,29134,13,16,NEW YOR,100,SERRANO,C00240986,-0.533,-0.429,-92.77882,860,0.898,0.956\
292,112,21170,14,10,PENNSYL,200,MARINO,C00475145,0.434,0.43,-99.04506,845,0.889,0.955\
77,112,20959,43,19,FLORIDA,100,DEUTCH,C00469163,-0.462,-0.025,-101.35202,814,0.883,0.946\
213,112,21188,56,1,WEST VI,200,MCKINLEY,C00473132,0.255,0.164,-178.6237,856,0.812,0.916\
197,112,21168,14,7,PENNSYL,200,MEEHAN,C00466870,0.189,0.001,-196.34981,862,0.796,0.905\
128,112,29742,12,9,NEW JER,100,ROTHMAN,C00313494,-0.383,-0.175,-134.59229,853,0.854,0.930\
187,112,29746,47,7,NORTH C,100,MCINTYRE,C00306829,-0.168,0.592,-406.39606,834,0.614,0.766\
151,112,14448,56,3,WEST VI,100,RAHALL,C00081356,-0.332,0.332,-421.19336,852,0.61,0.761\
211,112,21153,12,3,NEW JER,200,RUNYAN,C00477661,0.249,0.085,-139.46925,859,0.85,0.942\
56,112,15444,13,28,NEW YOR,100,SLAUGHTE,C00213611,-0.499,-0.097,-99.22742,788,0.882,0.937\
68,112,20934,13,21,NEW YOR,100,TONKO,C00450049,-0.478,-0.269,-105.11585,861,0.885,0.957\
100,112,20542,12,13,NEW JER,100,SIRES,C00410753,-0.434,0.083,-140.94217,849,0.847,0.927\
62,112,20517,34,5,MISSOUR,100,CLEAVER,C00395848,-0.491,-0.103,-139.46593,841,0.847,0.933\
319,112,39308,40,6,VIRGINI,200,GOODLATT,C00257956,0.477,-0.087,-164.20018,862,0.827,0.914\
207,112,20346,14,18,PENNSYL,200,MURPHY,C00372201,0.232,0.121,-198.98671,861,0.794,0.913\
221,112,14066,81,1,ALASKA,200,YOUNG,C00012229,0.274,-0.016,-216.50642,738,0.746,0.873\
137,112,15029,24,9,OHIO,100,KAPTUR,C00154625,-0.364,0.133,-178.02921,838,0.809,0.905\
16,112,29748,24,10,OHIO,100,KUCINICH,C00325704,-0.617,0.147,-211.58376,861,0.782,0.892\
224,112,20518,35,1,NEBRASK,200,FORTENBE,C00395467,0.285,-0.222,-215.90517,856,0.777,0.900\
225,112,20316,43,21,FLORIDA,200,DIAZ-BAL,C00376087,0.298,-0.07,-138.33202,805,0.842,0.940\
150,112,29922,65,1,NEVADA,100,BERKLEY,C00325738,-0.335,-0.095,-174.70576,850,0.814,0.920\
332,112,29349,21,16,ILLINOI,200,MANZULLO,C00252973,0.505,-0.069,-152.56738,821,0.83,0.921\
252,112,20916,51,2,KENTUCK,200,GUTHRIE,C00445023,0.366,0.23,-88.56991,855,0.902,0.961\
18,112,29337,43,23,FLORIDA,100,HASTINGS,C00269837,-0.603,0.141,-128.57143,859,0.861,0.936\
392,112,21142,23,2,MICHIGA,200,HUIZENGA,C00459297,0.616,-0.402,-119.86383,861,0.87,0.941\
231,112,29910,63,2,IDAHO,200,SIMPSON,C00331397,0.312,0.13,-130.60054,858,0.859,0.944\
142,112,20954,21,5,ILLINOI,100,QUIGLEY,C00457556,-0.358,-0.542,-162.94592,851,0.826,0.924\
118,112,14430,23,5,MICHIGA,100,KILDEE,C00078105,-0.4,-0.045,-126.62145,855,0.862,0.949\
385,112,20503,43,14,FLORIDA,200,MACK,C00391243,0.596,-0.299,-135.53021,831,0.85,0.934\
301,112,29331,43,7,FLORIDA,200,MICA,C00283051,0.451,-0.003,-119.54438,863,0.871,0.929\
36,112,15072,13,10,NEW YOR,100,TOWNS,C00197285,-0.55,-0.184,-94.87643,824,0.891,0.950\
362,112,29752,14,16,PENNSYL,200,PITTS,C00310136,0.55,-0.196,-119.26316,855,0.87,0.942\
113,112,29931,72,1,OREGON,100,WU,C00329292,-0.408,0.075,-154.51003,644,0.787,0.899\
239,112,29522,31,4,IOWA,200,LATHAM,C00287045,0.33,0.119,-139.15157,858,0.85,0.935\
116,112,15033,23,12,MICHIGA,100,LEVIN,C00156612,-0.403,-0.141,-110.19916,864,0.88,0.951\
241,112,14854,51,5,KENTUCK,200,ROGERS,C00116632,0.332,-0.001,-107.5136,858,0.882,0.952\
22,112,14256,71,7,CALIFOR,100,MILLER,C00026757,-0.602,-0.375,-106.89433,835,0.88,0.952\
303,112,20715,21,6,ILLINOI,200,ROSKAM,C00410969,0.454,-0.25,-125.53568,843,0.862,0.936\
328,112,29905,71,42,CALIFOR,200,MILLER,C00331496,0.499,0.121,-100.95799,839,0.887,0.944\
245,112,29538,4,2,NEW HAM,200,BASS,C00302570,0.345,-0.706,-230.73997,850,0.762,0.874\
276,112,29301,41,6,ALABAMA,200,BACHUS,C00260547,0.403,0.085,-112.17484,848,0.876,0.955\
210,112,20135,14,19,PENNSYL,200,PLATTS,C00343376,0.248,-0.26,-196.51074,853,0.794,0.899\
25,112,20537,25,4,WISCONS,100,MOORE,C00397505,-0.578,-0.429,-130.89046,839,0.856,0.932\
249,112,20125,64,1,MONTANA,200,REHBERG,C00349431,0.357,0.136,-147.94305,861,0.842,0.925\
404,112,20110,43,1,FLORIDA,200,MILLER,C00512442,0.643,-0.024,-122.4421,861,0.867,0.944\
349,112,21191,40,9,VIRGINI,200,GRIFFITH,C00477240,0.529,-0.55,-192.85625,845,0.796,0.904\
228,112,29525,51,1,KENTUCK,200,WHITFIEL,C00289983,0.304,0.112,-136.37163,846,0.851,0.942\
279,112,20514,45,7,LOUISIA,200,BOUSTANY,C00394866,0.406,-0.078,-119.96758,839,0.867,0.943\
347,112,21115,43,5,FLORIDA,200,NUGENT,C00482281,0.528,-0.126,-113.05658,859,0.877,0.946\
72,112,29903,71,38,CALIFOR,100,NAPOLITA,C00334706,-0.473,-0.24,-99.81561,819,0.885,0.944\
76,112,20122,33,4,MINNESO,100,MCCOLLUM,C00354688,-0.468,-0.25,-110.49757,803,0.871,0.950\
257,112,21197,13,9,NEW YOR,200,TURNER,C00483495,0.37,-0.118,-12.47385,200,0.94,0.985\
47,112,29346,21,1,ILLINOI,100,RUSH,C00257121,-0.521,-0.283,-128.29858,788,0.85,0.928\
259,112,21177,37,1,SOUTH D,200,NOEM,C00476853,0.377,0.243,-108.38683,859,0.881,0.952\
24,112,29378,13,12,NEW YOR,100,VELAZQUE,C00271312,-0.588,-0.404,-98.09999,850,0.891,0.948\
240,112,20332,23,11,MICHIGA,200,MCCOTTER,C00365841,0.331,-0.105,-167.98297,810,0.813,0.916\
262,112,21160,36,1,NORTH D,200,BERG,C00474619,0.384,0.105,-106.73447,837,0.88,0.947\
263,112,20344,53,4,OKLAHOM,200,COLE,C00379735,0.384,0.177,-126.57266,854,0.862,0.941\
298,112,21107,42,2,ARKANSA,200,GRIFFIN,C00468116,0.441,0.177,-88.79723,863,0.902,0.957\
256,112,20924,33,3,MINNESO,200,PAULSEN,C00439661,0.368,-0.377,-156.36725,853,0.833,0.928\
275,112,20300,41,1,ALABAMA,200,BONNER,C00375220,0.402,0.298,-97.55048,852,0.892,0.959\
184,112,20102,42,4,ARKANSA,100,ROSS,C00345710,-0.189,0.634,-289.19144,855,0.713,0.839\
200,112,29553,24,14,OHIO,200,LATOURET,C00284174,0.206,-0.138,-187.08076,847,0.802,0.915\
363,112,21166,53,5,OKLAHOM,200,LANKFORD,C00466482,0.553,-0.01,-100.16068,862,0.89,0.957\
325,112,20307,71,21,CALIFOR,200,NUNES,C00370056,0.498,-0.141,-103.19236,854,0.886,0.944\
293,112,20535,73,5,WASHING,200,MCMORRIS RO,C00390476,0.436,-0.007,-100.62298,851,0.888,0.959\
8,112,29911,21,9,ILLINOI,100,SCHAKOWS,C00327023,-0.647,-0.309,-108.36349,852,0.881,0.954\
353,112,20755,24,5,OHIO,200,LATTA,C00438697,0.536,-0.024,-81.9421,864,0.91,0.973\
43,112,15448,71,8,CALIFOR,100,PELOSI,C00213512,-0.533,-0.339,-100.68723,784,0.879,0.943\
343,112,21193,41,5,ALABAMA,200,BROOKS,C00464149,0.524,-0.261,-153.39818,860,0.837,0.923\
286,112,21192,41,2,ALABAMA,200,ROBY,C00462143,0.421,0.554,-91.91228,864,0.899,0.954\
338,112,21184,49,27,TEXAS,200,FARENTHOLD,C00473736,0.518,0.088,-133.66135,857,0.856,0.937\
230,112,20331,23,10,MICHIGA,200,MILLER,C00365593,0.306,-0.061,-176.67117,864,0.815,0.919\
288,112,20919,45,6,LOUISIA,200,CASSIDY,C00451807,0.43,-0.41,-153.95961,851,0.835,0.931\
380,112,21186,40,5,VIRGINI,200,HURT,C00468405,0.588,-0.285,-118.38166,850,0.87,0.946\
381,112,21182,49,17,TEXAS,200,FLORES,C00472241,0.589,0.216,-90.72503,849,0.899,0.966\
139,112,20525,14,13,PENNSYL,100,SCHWARTZ,C00389197,-0.361,-0.055,-125.91958,818,0.857,0.949\
191,112,20717,22,2,INDIANA,100,DONNELLY,C00393652,-0.132,0.627,-326.17993,863,0.685,0.810\
154,112,29149,40,8,VIRGINI,100,MORAN,C00241349,-0.328,-0.276,-152.18874,850,0.836,0.933\
130,112,20752,71,37,CALIFOR,100,RICHARDSON,C00434571,-0.376,-0.086,-215.95946,850,0.776,0.888\
246,112,20301,41,3,ALABAMA,200,ROGERS,C00367862,0.346,0.308,-98.6949,857,0.891,0.952\
287,112,20909,43,15,FLORIDA,200,POSEY,C00444968,0.425,-0.109,-190.64235,859,0.801,0.902\
359,112,20918,45,4,LOUISIA,200,FLEMING,C00445015,0.547,-0.126,-101.81297,862,0.889,0.957\
337,112,20729,35,3,NEBRASK,200,SMITH,C00412890,0.516,-0.128,-118.28532,856,0.871,0.931\
114,112,20723,51,3,KENTUCK,100,YARMUTH,C00419630,-0.405,-0.187,-106.31018,838,0.881,0.947\
355,112,20527,49,1,TEXAS,200,GOHMERT,C00386532,0.54,0.051,-199.899,798,0.778,0.892\
282,112,20134,14,9,PENNSYL,200,SHUSTER,C00364935,0.408,0.245,-102.43783,846,0.886,0.954\
198,112,20536,73,8,WASHING,200,REICHERT,C00397737,0.192,-0.344,-246.82828,809,0.737,0.860\
218,112,29736,34,8,MISSOUR,200,EMERSON,C00320457,0.268,0.234,-149.55447,823,0.834,0.920\
391,112,15621,71,46,CALIFOR,200,ROHRABAC,C00224691,0.612,-0.343,-222.7697,856,0.771,0.891\
141,112,29943,49,20,TEXAS,100,GONZALEZ,C00330084,-0.358,0.11,-259.76443,834,0.732,0.867\
297,112,21164,24,16,OHIO,200,RENACCI,C00466359,0.441,-0.228,-186.84975,862,0.805,0.910\
264,112,21108,42,3,ARKANSA,200,WOMACK,C00477745,0.385,0.397,-78.37337,865,0.913,0.968\
299,112,21103,61,1,ARIZONA,200,GOSAR,C00461806,0.446,-0.122,-138.07088,854,0.851,0.929\
170,112,29768,73,9,WASHING,100,SMITH,C00304709,-0.286,-0.201,-206.57832,824,0.778,0.914\
229,112,21121,43,25,FLORIDA,200,RIVERA,C00477356,0.304,0.38,-89.84209,862,0.901,0.959\
302,112,21152,4,1,NEW HAM,200,GUINTA,C00461350,0.452,-0.058,-99.49406,855,0.89,0.953\
258,112,21130,21,17,ILLINOI,200,SCHILLING,C00459354,0.374,-0.127,-174.98161,855,0.815,0.904\
101,112,20343,24,17,OHIO,100,RYAN,C00373464,-0.433,0.284,-189.74326,850,0.8,0.874\
305,112,20910,43,16,FLORIDA,200,ROONEY,C00432906,0.462,-0.046,-135.51614,858,0.854,0.927\
306,112,21147,46,1,MISSISS,200,NUNNELEE,C00464487,0.464,0.221,-98.17672,840,0.89,0.945\
304,112,20540,24,2,OHIO,200,SCHMIDT,C00410647,0.456,-0.237,-144.98073,846,0.843,0.928\
308,112,21148,46,4,MISSISS,200,PALAZZO,C00477323,0.467,0.502,-88.71554,859,0.902,0.950\
208,112,15634,43,18,FLORIDA,200,ROS-LEHT,C00280537,0.241,-0.326,-184.02452,853,0.806,0.924\
243,112,20914,21,18,ILLINOI,200,SCHOCK,C00437756,0.341,-0.011,-143.75914,825,0.84,0.925\
421,112,20704,62,5,COLORAD,200,LAMBORN,C00420745,0.719,-0.066,-88.04285,856,0.902,0.960\
46,112,29368,46,2,MISSISS,100,THOMPSON,C00279851,-0.523,0.39,-170.18864,845,0.818,0.911\
91,112,20748,54,9,TENNESS,100,COHEN,C00422980,-0.447,-0.383,-139.96681,837,0.846,0.946\
153,112,20705,62,7,COLORAD,100,PERLMUTTER,C00410639,-0.328,0.229,-257.98782,848,0.738,0.870\
294,112,20124,34,6,MISSOUR,200,GRAVES,C00359034,0.437,-0.011,-137.76065,821,0.846,0.928\
226,112,21151,65,3,NEVADA,200,HECK,C00468421,0.301,-0.021,-197.73616,864,0.795,0.907\
248,112,14675,25,6,WISCONS,200,PETRI,C00107003,0.354,-0.394,-259.22433,861,0.74,0.863\
318,112,20337,66,2,NEW MEX,200,PEARCE,C00463836,0.475,-0.118,-157.97838,842,0.829,0.912\
284,112,21185,40,2,VIRGINI,200,RIGELL,C00463687,0.417,-0.305,-164.02824,861,0.827,0.929\
52,112,29317,71,34,CALIFOR,100,ROYBAL-A,C00259143,-0.508,-0.311,-91.2201,856,0.899,0.953\
316,112,20730,65,2,NEVADA,200,HELLER,C00410837,0.475,-0.589,-130.27315,417,0.732,0.847\
