,Congress,ICPSR#,State#,HouseDist,State Name,Party,Name,Comm Number,1st Dim,2nd Dim,Log-Lik,TotalChoice,GeomMean,Pct Correct
327,112,21178,54,3,TENNESS,200,FLEISCHMA,C00461822,0.499,0.201,-98.02137,865,0.893,0.953\
160,112,20726,33,1,MINNESO,100,WALZ,C00409409,-0.318,0.262,-181.58284,850,0.808,0.920\
411,112,20117,22,6,INDIANA,200,PENCE,C00350397,0.672,-0.171,-90.20476,831,0.897,0.949\
400,112,21131,22,4,INDIANA,200,ROKITA,C00476192,0.635,-0.276,-102.14841,811,0.882,0.948\
219,112,14869,40,10,VIRGINI,200,WOLF,C00166017,0.27,-0.265,-206.75569,860,0.786,0.895\
384,112,20532,49,24,TEXAS,200,MARCHANT,C00393348,0.593,0.069,-133.53937,826,0.851,0.938\
291,112,20530,49,10,TEXAS,200,MCCAUL,C00392688,0.434,-0.177,-119,861,0.871,0.951\
395,112,20353,49,19,TEXAS,200,NEUGEBAUE,C00384016,0.622,0.076,-82.35577,856,0.908,0.963\
352,112,20948,49,22,TEXAS,200,OLSON,C00437913,0.534,0.072,-93.63754,854,0.896,0.954\
326,112,21116,43,8,FLORIDA,200,WEBSTER,C00481911,0.499,-0.127,-147.73781,851,0.841,0.935\
369,112,20759,45,1,LOUISIA,200,SCALISE,C00394957,0.562,-0.163,-108.44637,850,0.88,0.958\
309,112,21119,43,22,FLORIDA,200,WEST,C00435628,0.467,-0.142,-154.6694,863,0.836,0.915\
435,112,14290,49,14,TEXAS,200,PAUL,C00305342,0.971,-0.24,-364.66348,631,0.561,0.796\
382,112,20528,49,2,TEXAS,200,POE,C00392670,0.592,0.178,-184.10368,848,0.805,0.900\
194,112,20737,47,11,NORTH C,100,SHULER,C00413393,-0.102,0.483,-436.44324,815,0.585,0.717\
102,112,29901,71,1,CALIFOR,100,THOMPSON,C00326363,-0.431,0.243,-186.1496,859,0.805,0.898\
278,112,20120,23,8,MICHIGA,200,ROGERS,C00343863,0.404,-0.129,-114.71249,851,0.874,0.948\
152,112,29764,49,16,TEXAS,100,REYES,C00309237,-0.329,0.257,-194.10901,838,0.793,0.911\
12,112,15431,44,5,GEORGIA,100,LEWIS,C00202416,-0.634,-0.237,-103.72544,827,0.882,0.949\
389,112,29759,49,32,TEXAS,200,SESSIONS,C00303305,0.6,-0.047,-85.03776,847,0.904,0.966\
9,112,20305,61,7,ARIZONA,100,GRIJALVA,C00374058,-0.639,-0.255,-118.40417,839,0.868,0.944\
423,112,21150,34,7,MISSOUR,200,LONG,C00460063,0.726,0.337,-100.84735,820,0.884,0.955\
313,112,20947,54,1,TENNESS,200,ROE,C00444471,0.471,-0.295,-118.22566,862,0.872,0.943\
233,112,15446,23,6,MICHIGA,200,UPTON,C00200584,0.316,-0.569,-177.24318,865,0.815,0.931\
430,112,21100,22,3,INDIANA,200,STUTZMAN,C00484683,0.781,-0.302,-97.00226,846,0.892,0.953\
44,112,21118,43,17,FLORIDA,100,WILSON,C00460055,-0.528,0.116,-97.60795,754,0.879,0.948\
402,112,20505,44,6,GEORGIA,200,PRICE,C00386755,0.642,-0.268,-95.68129,863,0.895,0.959\
403,112,20953,68,1,WYOMING,200,LUMMIS,C00443580,0.642,-0.405,-183.2562,838,0.804,0.914\
234,112,13047,43,10,FLORIDA,200,YOUNG,C00051227,0.323,-0.123,-184.55563,787,0.791,0.906\
405,112,14657,25,5,WISCONS,200,SENSENBR,C00083428,0.647,-0.686,-158.88588,862,0.832,0.920\
147,112,20720,31,2,IOWA,100,LOEBSACK,C00414318,-0.34,-0.121,-172.14676,846,0.816,0.914\
268,112,20130,24,12,OHIO,200,TIBERI,C00347492,0.391,-0.241,-157.21326,855,0.832,0.913\
29,112,29383,47,12,NORTH C,100,WATT,C00260604,-0.569,-0.331,-130.02802,843,0.857,0.937\
98,112,29101,61,4,ARIZONA,100,PASTOR,C00251918,-0.439,0.013,-192.58601,850,0.797,0.894\
222,112,20342,24,3,OHIO,200,TURNER,C00373001,0.276,0.029,-163.13034,862,0.828,0.920\
110,112,15124,22,1,INDIANA,100,VISCLOSK,C00166504,-0.418,0.27,-242.01566,837,0.749,0.866\
412,112,21125,63,1,IDAHO,200,LABRADOR,C00470948,0.675,-0.504,-145.40953,840,0.841,0.925\
413,112,21136,32,4,KANSAS,200,POMPEO,C00460402,0.679,-0.067,-82.4155,860,0.909,0.962\
158,112,20321,44,13,GEORGIA,100,SCOTT,C00369801,-0.321,0.217,-176.43338,855,0.814,0.923\
394,112,21123,44,8,GEORGIA,200,SCOTT,C00482737,0.618,-0.061,-110.95592,851,0.878,0.954\
195,112,14863,12,4,NEW JER,200,SMITH,C00096412,0.121,-0.251,-233.44505,853,0.761,0.887\
425,112,21175,48,4,SOUTH C,200,GOWDY,C00462523,0.732,-0.353,-91.06091,861,0.9,0.962\
374,112,21135,32,3,KANSAS,200,YODER,C00472365,0.574,-0.129,-117.66738,863,0.873,0.934\
3,112,29106,71,35,CALIFOR,100,WATERS,C00167585,-0.713,-0.133,-147.84409,797,0.831,0.927\
189,112,20140,67,2,UTAH,100,MATHESON,C00344721,-0.147,0.478,-424.62003,859,0.61,0.778\
314,112,21111,62,3,COLORAD,200,TIPTON,C00470757,0.473,0.04,-147.49066,863,0.843,0.917\
422,112,21126,21,8,ILLINOI,200,WALSH,C00473579,0.719,-0.695,-154.73199,848,0.833,0.930\
315,112,20926,34,9,MISSOUR,200,LUETKEMEYER,C00458679,0.474,-0.089,-99.92815,863,0.891,0.956\
431,112,21176,48,5,SOUTH C,200,MULVANEY,C00471292,0.819,-0.574,-131.83623,860,0.858,0.929\
417,112,21173,48,1,SOUTH C,200,SCOTT,C00476226,0.692,-0.246,-91.17987,860,0.899,0.957\
50,112,14280,71,30,CALIFOR,100,WAXMAN,C00013128,-0.516,-0.352,-102.06872,842,0.886,0.949\
277,112,15445,49,21,TEXAS,200,SMITH,C00197160,0.404,-0.028,-97.03565,856,0.893,0.964\
21,112,29309,71,6,CALIFOR,100,WOOLSEY,C00260265,-0.602,-0.536,-108.78458,851,0.88,0.933\
409,112,21104,61,3,ARIZONA,200,QUAYLE,C00475863,0.667,0.031,-90.59508,804,0.893,0.944\
379,112,21133,22,9,INDIANA,200,YOUNG,C00459255,0.582,-0.024,-108.71083,862,0.882,0.950\
366,112,20138,48,2,SOUTH C,200,WILSON,C00368522,0.559,-0.153,-95.36045,844,0.893,0.961\
364,112,20725,23,7,MICHIGA,200,WALBERG,C00390724,0.554,-0.214,-117.74935,860,0.872,0.947\
414,112,20506,44,3,GEORGIA,200,WESTMORE,C00387126,0.687,-0.006,-112.57565,853,0.876,0.939\
415,112,21122,44,7,GEORGIA,200,WOODALL,C00482307,0.688,-0.334,-146.59491,858,0.843,0.921\
368,112,29572,49,13,TEXAS,200,THORNBER,C00286187,0.561,0.027,-97.92973,864,0.893,0.955\
396,112,21105,61,5,ARIZONA,200,SCHWEIKERT,C00540617,0.622,-0.451,-114.60112,859,0.875,0.951\
\f1\b,0 \,,,,,,,,,,,,,
},,,,,,,,,,,,,,
